Item,Location,Longitude,Latitude
288, Cape Canaveral AFS Florida USA,-80.572293,28.488798
289, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
290, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
291, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
292, Vandenberg AFB California USA,-120.58262457020024,34.73835455
293, Tanegashima Space Center Japan,130.97126149653548,30.4034117
294, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
295, West Texas Texas USA,-98.1626132,26.172826
296, Cape Canaveral AFS Florida USA,-80.572293,28.488798
297, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
298, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
299, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
300, Plesetsk Cosmodrome Russia,40.574814,62.927843
301, Vostochny Cosmodrome Russia,128.33086879328096,51.881337849999994
302, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
303, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
304, Vandenberg AFB California USA,-120.58262457020024,34.73835455
305, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
306, Wallops Flight Facility Virginia USA,-75.49639969025829,37.855614700000004
307, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
308, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
309, Vandenberg AFB California USA,-120.58262457020024,34.73835455
310, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
311, Cape Canaveral AFS Florida USA,-80.572293,28.488798
312, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
313, Plesetsk Cosmodrome Russia,40.574814,62.927843
314, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
315, Tanegashima Space Center Japan,130.97126149653548,30.4034117
316, Vandenberg AFB California USA,-120.58262457020024,34.73835455
317, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
318, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
319, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
320, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
321, Vandenberg AFB California USA,-120.58262457020024,34.73835455
322, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
323, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
324, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
325, Cape Canaveral AFS Florida USA,-80.572293,28.488798
326, Vandenberg AFB California USA,-120.58262457020024,34.73835455
327, Plesetsk Cosmodrome Russia,40.574814,62.927843
328, Tanegashima Space Center Japan,130.97126149653548,30.4034117
329, Cape Canaveral AFS Florida USA,-80.572293,28.488798
330, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
331, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
332, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
333, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
334, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
335, Semnan Space Center Iran,53.897056783100155,35.221533550000004
336, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
337, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
338, Wenchang Satellite Launch Center China,34.680158,31.884586
339, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
340, Vandenberg AFB California USA,-120.58262457020024,34.73835455
341, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
342, Plesetsk Cosmodrome Russia,40.574814,62.927843
343, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
344, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
345, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
346, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
347, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
348, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
349, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
350, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
351, Tanegashima Space Center Japan,130.97126149653548,30.4034117
352, Plesetsk Cosmodrome Russia,40.574814,62.927843
353, M?hia Peninsula New Zealand,177.864944,-39.261508
354, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
355, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
356, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
357, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
358, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
359, Wenchang Satellite Launch Center China,34.680158,31.884586
360, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
361, Cape Canaveral AFS Florida USA,-80.572293,28.488798
362, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
363, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
364, Cape Canaveral AFS Florida USA,-80.572293,28.488798
365, Tanegashima Space Center Japan,130.97126149653548,30.4034117
366, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
367, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
368, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
369, Vandenberg AFB California USA,-120.58262457020024,34.73835455
370, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
371, Kennedy Space Center Florida USA,-80.68036706230734,28.5225289
372, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
373, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
374, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
375, Tanegashima Space Center Japan,130.97126149653548,30.4034117
376, Cape Canaveral AFS Florida USA,-80.572293,28.488798
377,"Uchinoura Space Center, Japan",131.07879609473065,31.25411165
378, Vandenberg AFB California USA,-120.58262457020024,34.73835455
379, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
380, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
381, Taiyuan Satellite Launch Center China,111.60532243338425,38.84978335
382, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
383, Jiuquan Satellite Launch Center China,100.2838214916303,40.964989
384, Uchinoura Space Center Japan,131.07879609473065,31.25411165
385, Cape Canaveral AFS Florida USA,-80.572293,28.488798
386, Cape Canaveral AFS Florida USA,-80.572293,28.488798
387, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
388, Tanegashima Space Center Japan,130.97126149653548,30.4034117
389, Cape Canaveral AFS Florida USA,-80.572293,28.488798
390, Satish Dhawan Space Centre India,80.16460301880002,13.72376835
391, Guiana Space Centre French Guiana France,-52.77388326708221,5.21237515
392, Baikonur Cosmodrome Kazakhstan,63.40837213703634,45.917893199999995
393, Xichang Satellite Launch Center China,102.02793799844264,28.24576155
394, Cape Canaveral AFS Florida USA,-80.572293,28.488798
